city,date,avg_temp_c,max_temp_c,min_temp_c,total_rain_mm,loaded_at
Birmingham,2026-06-28,20.0625,22.4,16.3,0.1,2026-07-05 16:55:49.708856
Birmingham,2026-06-29,16.891666666666666,20.4,12.6,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-06-30,18.316666666666666,22.1,15.6,3.1,2026-07-05 16:55:49.708856
Birmingham,2026-07-01,18.625,23.8,14.1,0.4,2026-07-05 16:55:49.708856
Birmingham,2026-07-02,18.420833333333334,20.9,15.6,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-03,18.895833333333332,25.4,12.2,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-04,19.775000000000002,23.6,15.6,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-05,20.804166666666667,26.8,16.2,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-06,22.34166666666667,29.3,16.8,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-07,21.2375,25.2,16.9,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-08,22.383333333333336,29.8,15.2,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-09,21.883333333333336,27.6,16.2,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-10,24.09583333333333,32.1,17.2,0.0,2026-07-05 16:55:49.708856
Birmingham,2026-07-11,24.354166666666668,31.2,17.9,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-06-28,17.904166666666665,19.7,15.3,0.6000000000000001,2026-07-05 16:55:49.708856
Edinburgh,2026-06-29,16.162499999999998,18.9,12.7,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-06-30,16.154166666666665,17.6,14.2,2.9,2026-07-05 16:55:49.708856
Edinburgh,2026-07-01,15.808333333333332,18.5,13.3,3.2,2026-07-05 16:55:49.708856
Edinburgh,2026-07-02,15.908333333333333,18.3,13.5,0.1,2026-07-05 16:55:49.708856
Edinburgh,2026-07-03,14.762500000000001,17.3,12.5,2.8,2026-07-05 16:55:49.708856
Edinburgh,2026-07-04,16.2375,18.4,13.3,0.9,2026-07-05 16:55:49.708856
Edinburgh,2026-07-05,15.695833333333333,17.1,14.4,1.3,2026-07-05 16:55:49.708856
Edinburgh,2026-07-06,16.116666666666667,18.0,14.9,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-07-07,17.120833333333334,20.3,14.5,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-07-08,18.266666666666666,22.0,15.4,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-07-09,20.162499999999998,23.5,16.7,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-07-10,20.875,24.0,17.9,0.0,2026-07-05 16:55:49.708856
Edinburgh,2026-07-11,15.695833333333333,18.0,15.1,3.2,2026-07-05 16:55:49.708856
London,2026-06-28,22.508333333333336,25.8,19.5,0.0,2026-07-05 16:55:49.708856
London,2026-06-29,19.662499999999998,23.9,14.5,0.0,2026-07-05 16:55:49.708856
London,2026-06-30,20.666666666666668,24.5,18.0,0.7,2026-07-05 16:55:49.708856
London,2026-07-01,21.416666666666668,26.1,17.0,0.0,2026-07-05 16:55:49.708856
London,2026-07-02,21.391666666666666,26.0,16.9,0.0,2026-07-05 16:55:49.708856
London,2026-07-03,20.566666666666666,27.1,14.2,0.0,2026-07-05 16:55:49.708856
London,2026-07-04,22.195833333333336,28.2,16.2,0.0,2026-07-05 16:55:49.708856
London,2026-07-05,22.691666666666666,28.7,17.3,0.0,2026-07-05 16:55:49.708856
London,2026-07-06,25.166666666666668,32.6,18.6,0.0,2026-07-05 16:55:49.708856
London,2026-07-07,24.741666666666664,29.8,18.8,0.0,2026-07-05 16:55:49.708856
London,2026-07-08,26.141666666666666,31.6,20.8,0.0,2026-07-05 16:55:49.708856
London,2026-07-09,26.71666666666667,31.9,22.1,0.0,2026-07-05 16:55:49.708856
London,2026-07-10,25.616666666666664,31.3,19.6,0.0,2026-07-05 16:55:49.708856
London,2026-07-11,28.21666666666667,34.5,23.3,0.8,2026-07-05 16:55:49.708856
Manchester,2026-06-28,19.741666666666667,22.9,16.0,0.5,2026-07-05 16:55:49.708856
Manchester,2026-06-29,17.075,20.2,13.9,0.0,2026-07-05 16:55:49.708856
Manchester,2026-06-30,18.179166666666667,22.2,15.6,4.1000000000000005,2026-07-05 16:55:49.708856
Manchester,2026-07-01,17.641666666666666,20.4,15.6,2.2,2026-07-05 16:55:49.708856
Manchester,2026-07-02,16.320833333333333,17.9,14.5,0.8,2026-07-05 16:55:49.708856
Manchester,2026-07-03,17.75,22.5,13.2,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-04,18.6375,20.8,16.6,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-05,18.083333333333332,20.5,15.4,0.39999999999999997,2026-07-05 16:55:49.708856
Manchester,2026-07-06,18.474999999999998,20.4,16.5,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-07,18.587500000000002,20.6,16.0,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-08,20.504166666666666,26.2,16.7,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-09,20.866666666666667,25.6,16.5,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-10,25.5125,30.6,20.9,0.0,2026-07-05 16:55:49.708856
Manchester,2026-07-11,23.633333333333336,28.1,18.9,0.0,2026-07-05 16:55:49.708856
